# Constructed from biom file
#OTU ID	ERR1513684	ERR1513701	ERR1513703	ERR1513777	ERR1513870	ERR1513889	ERR1513961	ERR1513964	ERR1513983	ERR1514003
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Merdimonas	0.0	0.0	0.0	0.0	12.0	0.0	0.0	22.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Dorea	0.0	0.0	0.0	69.0	107.0	55.0	105.0	19.0	20.0	7.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Novisyntrophococcus	0.0	0.0	5.0	13.0	43.0	0.0	11.0	6.0	14.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Butyrivibrio	0.0	0.0	0.0	2127.0	0.0	0.0	0.0	941.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Eisenbergiella	0.0	5.0	0.0	0.0	0.0	14.0	13.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Hespellia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Hungatella	0.0	506.0	46.0	1104.0	171.0	16.0	0.0	0.0	71.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Frisingicoccus	0.0	44.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Coprococcus	0.0	0.0	0.0	186.0	28.0	0.0	0.0	177.0	187.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Cuneatibacter	0.0	0.0	0.0	0.0	40.0	0.0	0.0	11.0	20.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Lachnotalea	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Herbinix	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales;g__[Bacteroides]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Peptococcaceae;g__Desulfohalotomaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus	0.0	0.0	497.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales Family XIII. Incertae Sedis;g__Emergencia	6.0	20.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	11.0	0.0	0.0	59.0	3.0	5.0	60.0	0.0	2.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Adlercreutzia	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;__;__;__	0.0	0.0	0.0	56.0	19.0	0.0	0.0	31.0	5.0	0.0
k__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales;g__[Bacillus]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
